27.1 NA NA NA NA NA NA NA NA NA NA NA
17.1 50.8 92.8 16.3 72.5 13.2 134.5 62.4 98.8 NA NA NA
NA NA NA NA NA NA NA NA 32.4 112.5 64.7 17.5
75 47.2 125.2 33.1 111.2 NA NA NA NA NA NA NA
NA NA NA NA 55.8 190.6 122.3 87 138.3 82.1 759.1 45.1
69.4 NA NA NA NA NA NA NA NA NA NA NA
11.4 82.8 98.9 28.7 51.1 68.7 177.9 26.7 40.6 NA NA NA
NA NA NA NA NA NA NA NA 33.3 98 81.3 35.5
56.3 61.6 473.8 50 45.5 NA NA NA NA NA NA NA
NA NA NA NA 22.4 41.3 21.1 16.4 30.2 27.8 36.2 21.3
20.6 NA NA NA NA NA NA NA NA NA NA NA
11 12.7 19.7 33 13.2 19.1 50.9 12 36.4 NA NA NA
NA NA NA NA NA NA NA NA 3.5 0.4 1.6 0.6
0.8 0.7 1 2 4.3 NA NA NA NA NA NA NA
NA NA NA NA 0 8.6 NA 0 0.9 1.6 0.5 0
0 NA NA NA NA NA NA NA NA NA NA NA
0.1 0 0 0 2.3 7.1 13.7 1.1 0 NA NA NA
NA NA NA NA NA NA NA NA 0.6 0 0 0
0 0 0 4.3 18.3 NA NA NA NA NA NA NA
NA NA NA NA 30.7 6.7 4.6 1.7 11.3 11.7 81.3 0
4 NA NA NA NA NA NA NA NA NA NA NA
121.3 240.2 268.2 139.6 258 159.6 589.8 108.8 257.7 NA NA NA
NA NA NA NA NA NA NA NA 157.5 202.4 171.5 58.7
166.5 151.4 356.7 80.4 178.8 NA NA NA NA NA NA NA
NA NA NA NA 8.4 29.9 19.8 30.9 12 22.8 153.2 17.7
16.1 NA NA NA NA NA NA NA NA NA NA NA
6.4 21.2 18.1 17.1 33.8 57.6 172.3 1.3 6 NA NA NA
NA NA NA NA NA NA NA NA 19.6 88.1 53.5 32.8
39.2 44.8 85.6 68.5 27.4 NA NA NA NA NA NA NA
NA NA NA NA 22 8.8 12.4 2.8 4.9 9.9 100.3 8.1
13 NA NA NA NA NA NA NA NA NA NA NA
4.5 32.7 32 46.3 24.6 15.5 32.1 5.1 10.3 NA NA NA
NA NA NA NA NA NA NA NA 0 0 2.3 0.4
0.4 0.3 1.3 2.7 5.5 NA NA NA NA NA NA NA
NA NA NA NA 0 NA 0 0 0 0 0 0
0 NA NA NA NA NA NA NA NA NA NA NA
2.1 0 0 0 0 0 38.6 0 0 NA NA NA
NA NA NA NA NA NA NA NA 29.3 70.5 113.8 82.1
22.8 55.3 172.8 81.1 3.2 NA NA NA NA NA NA NA
NA NA NA NA NA 93 57.9 83.9 NA 91.4 151.8 47.4
63.9 NA NA NA NA NA NA NA NA NA NA 146.4
300.3 NA NA NA NA NA NA NA NA NA NA 166.4
183.5 553.9 696.9 359 670.5 472.2 818.9 334.4 377.3 NA NA NA
NA NA NA NA NA NA NA 304.4 24.9 79.1 38.2 15.7
16.7 41.4 63.8 40.8 39.7 NA NA NA NA NA NA NA
NA NA NA 27.1 73.3 110.6 98 68.7 85.7 45.9 288.5 57.2
63.1 NA NA NA NA NA NA NA NA NA NA 89.1
42.9 55.6 65.2 18.7 40.2 58.5 121.5 21.7 54.6 NA NA NA
NA NA NA NA NA NA NA 64.6 2.6 21.7 8.8 1.3
8.8 17.3 127.8 12.3 10.7 NA NA NA NA NA NA NA
NA NA NA 31.2 109 61.3 56.8 38.8 57.6 107.3 437.7 44.3
88.5 NA NA NA NA NA NA NA NA NA NA 72.4
8.1 42.8 63.3 35.6 45.2 31.3 43.1 8 6.4 NA NA NA
NA NA NA NA NA NA NA 64 7.9 1.3 1.5 6.9
8.5 4.8 10.5 4.1 4.8 NA NA NA NA NA NA NA
NA NA NA 13.1 0 0 0.3 0 0 4.5 1.1 0.5
0 NA NA NA NA NA NA NA NA NA NA 0
