15.7 63.3 58.8 38.4 58.6 108.6 NA 26.2 30.1 NA NA NA NA NA NA NA NA NA NA NA
22.1 50.1 18.6 19.7 44.4 43.5 245.6 39.5 14.8 NA NA NA NA NA NA NA NA NA NA NA
17 7 16.3 0 20.2 13.8 116 3.1 10.6 NA NA NA NA NA NA NA NA NA NA NA
16.6 22.6 47.1 30.3 14.8 23.2 39.9 5.4 4.5 NA NA NA NA NA NA NA NA NA NA NA
1.8 0 0.4 0.2 0.1 0 0.4 0 0.1 NA NA NA NA NA NA NA NA NA NA NA
7.3 0 8 5.8 5.4 19.8 44.3 0 5.9 NA NA NA NA NA NA NA NA NA NA NA
23.3 73.1 3.4 68.6 34.9 36.5 169.1 0 0 NA NA NA NA NA NA NA NA NA NA NA
49.8 103.3 96.9 131.8 31.2 107.4 116.7 101.4 48.1 NA NA NA NA NA NA NA NA NA NA NA
33.6 67.6 48.7 56.5 53.2 102.6 86 51.3 27.1 NA NA NA NA NA NA NA NA NA NA NA
17.1 50.8 92.8 16.3 72.5 13.2 134.5 62.4 98.8 NA NA NA NA NA NA NA NA NA NA NA
32.4 112.5 64.7 17.5 75 47.2 125.2 33.1 111.2 NA NA NA NA NA NA NA NA NA NA NA
55.8 190.6 122.3 87 138.3 82.1 759.1 45.1 69.4 NA NA NA NA NA NA NA NA NA NA NA
11.4 82.8 98.9 28.7 51.1 68.7 177.9 26.7 40.6 NA NA NA NA NA NA NA NA NA NA NA
33.3 98 81.3 35.5 56.3 61.6 473.8 50 45.5 NA NA NA NA NA NA NA NA NA NA NA
22.4 41.3 21.1 16.4 30.2 27.8 36.2 21.3 20.6 NA NA NA NA NA NA NA NA NA NA NA
11 12.7 19.7 33 13.2 19.1 50.9 12 36.4 NA NA NA NA NA NA NA NA NA NA NA
3.5 0.4 1.6 0.6 0.8 0.7 1 2 4.3 NA NA NA NA NA NA NA NA NA NA NA
0 8.6 NA 0 0.9 1.6 0.5 0 0 NA NA NA NA NA NA NA NA NA NA NA
0.1 0 0 0 2.3 7.1 13.7 1.1 0 NA NA NA NA NA NA NA NA NA NA NA
0.6 0 0 0 0 0 0 4.3 18.3 NA NA NA NA NA NA NA NA NA NA NA
30.7 6.7 4.6 1.7 11.3 11.7 81.3 0 4 NA NA NA NA NA NA NA NA NA NA NA
121.3 240.2 268.2 139.6 258 159.6 589.8 108.8 257.7 NA NA NA NA NA NA NA NA NA NA NA
157.5 202.4 171.5 58.7 166.5 151.4 356.7 80.4 178.8 NA NA NA NA NA NA NA NA NA NA NA
8.4 29.9 19.8 30.9 12 22.8 153.2 17.7 16.1 NA NA NA NA NA NA NA NA NA NA NA
6.4 21.2 18.1 17.1 33.8 57.6 172.3 1.3 6 NA NA NA NA NA NA NA NA NA NA NA
19.6 88.1 53.5 32.8 39.2 44.8 85.6 68.5 27.4 NA NA NA NA NA NA NA NA NA NA NA
22 8.8 12.4 2.8 4.9 9.9 100.3 8.1 13 NA NA NA NA NA NA NA NA NA NA NA
4.5 32.7 32 46.3 24.6 15.5 32.1 5.1 10.3 NA NA NA NA NA NA NA NA NA NA NA
0 0 2.3 0.4 0.4 0.3 1.3 2.7 5.5 NA NA NA NA NA NA NA NA NA NA NA
0 NA 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA
2.1 0 0 0 0 0 38.6 0 0 NA NA NA NA NA NA NA NA NA NA NA
29.3 70.5 113.8 82.1 22.8 55.3 172.8 81.1 3.2 NA NA NA NA NA NA NA NA NA NA NA
NA 93 57.9 83.9 NA 91.4 151.8 47.4 63.9 NA NA NA NA NA NA NA NA NA NA 146.4
50 100.7 55 82.8 155.3 48.4 168.3 46.5 84.4 NA NA NA NA NA NA NA NA NA NA 144.6
43.6 120.9 68.7 28.5 66.3 128.2 283 77.3 110.3 NA NA NA NA NA NA NA NA NA NA 40.1
17.4 39.6 9 41.1 35.4 24 293 25.3 49.8 NA NA NA NA NA NA NA NA NA NA 15.4
7.3 28 8.8 23.4 0.9 64.6 186.4 8 16.9 NA NA NA NA NA NA NA NA NA NA 14.1
26.7 109.5 57.9 31.5 91.7 119.1 293.2 45.3 39.8 NA NA NA NA NA NA NA NA NA NA 93.5
70.8 52.1 63.8 31.7 68 75.8 149.5 61.7 79.2 NA NA NA NA NA NA NA NA NA NA 60.8
3.6 10.3 18.4 5.9 7.4 16.1 17.7 4.7 19.2 NA NA NA NA NA NA NA NA NA NA 30.7
6.2 5.1 9.2 7.4 16.4 9.6 33.7 25.6 12.2 NA NA NA NA NA NA NA NA NA NA 9.4
88.1 44.1 44 38.9 81.9 87 137.3 62.9 63.8 NA NA NA NA NA NA NA NA NA NA 39.1
2 0 0.5 0.9 0 0 39.2 4 3.2 NA NA NA NA NA NA NA NA NA NA 35.6
43 60 69.1 143.3 8.6 40.7 61 40.2 35.1 NA NA NA NA NA NA NA NA NA NA 24.6
103.9 160.4 81.1 121.7 187.9 90.8 283.2 243.2 300.3 NA NA NA NA NA NA NA NA NA NA 166.4
183.5 553.9 696.9 359 670.5 472.2 818.9 334.4 377.3 NA NA NA NA NA NA NA NA NA NA 304.4
24.9 79.1 38.2 15.7 16.7 41.4 63.8 40.8 39.7 NA NA NA NA NA NA NA NA NA NA 27.1
73.3 110.6 98 68.7 85.7 45.9 288.5 57.2 63.1 NA NA NA NA NA NA NA NA NA NA 89.1
42.9 55.6 65.2 18.7 40.2 58.5 121.5 21.7 54.6 NA NA NA NA NA NA NA NA NA NA 64.6
2.6 21.7 8.8 1.3 8.8 17.3 127.8 12.3 10.7 NA NA NA NA NA NA NA NA NA NA 31.2
109 61.3 56.8 38.8 57.6 107.3 437.7 44.3 88.5 NA NA NA NA NA NA NA NA NA NA 72.4
8.1 42.8 63.3 35.6 45.2 31.3 43.1 8 6.4 NA NA NA NA NA NA NA NA NA NA 64
7.9 1.3 1.5 6.9 8.5 4.8 10.5 4.1 4.8 NA NA NA NA NA NA NA NA NA NA 13.1
0 0 0.3 0 0 4.5 1.1 0.5 0 NA NA NA NA NA NA NA NA NA NA 0
5 0 22.4 35.2 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA 13.3
0 0 41.1 65.7 5.5 0 1.3 16.8 0 NA NA NA NA NA NA NA NA NA NA 6.7
82.2 65.8 41.1 55.4 71.2 69.2 147.8 63.5 42.8 NA NA NA NA NA NA NA NA NA NA 101.8
21.3 141 228.5 63.2 113.7 40.3 216.5 145.7 128 NA NA NA NA NA NA NA NA NA NA 88.7
59.8 139.2 152.5 21.6 113.2 100.7 414.8 58.8 156.8 NA NA NA NA NA NA NA NA NA NA 81.1
102.7 88 74.8 113.5 71 28.5 325.8 34.6 53 NA NA NA NA NA NA NA NA NA NA 127.3
20.7 11.2 11.3 16.6 10.6 42.6 96.9 0.7 8.7 NA NA NA NA NA NA NA NA NA NA 20.9
21 47.1 51.1 30.8 50.8 52.3 181.5 51.4 59.4 NA NA NA NA NA NA NA NA NA NA 65.5
56.9 81.7 27.3 40.3 69.3 53.8 209.4 28.6 46.7 NA NA NA NA NA NA NA NA NA NA 62
13.3 59.5 90.9 55.3 42.8 38.8 74.6 7 17.7 NA NA NA NA NA NA NA NA NA NA 68.1
26.4 3.6 26.6 22.2 10.1 16.2 29.3 30.1 26 NA NA NA NA NA NA NA NA NA NA 38.1
8.3 12.7 4.1 13.8 15 12.4 22 20.6 25.3 NA NA NA NA NA NA NA NA 3 NA 7.2
34.8 3.6 25.7 21.6 38.9 63 159.2 10.7 NA NA NA NA NA NA NA NA NA 18.2 NA 20.7
12.1 50.9 110.4 111.6 28.4 NA 69.1 14.6 18.4 NA NA NA NA NA NA NA NA 110.6 NA 51.2
9.4 9.4 17.2 13 7.6 16.1 61.9 16.9 0 NA NA NA NA NA NA NA NA 40.5 NA 16
32.4 68.3 91 83.6 58.6 26.6 104.8 40.7 86.2 NA NA NA NA NA NA NA NA 35.7 NA 8.9
128.1 176.2 147.2 57 123 112 376.5 107 179.7 NA NA NA NA NA NA NA NA 153.5 NA 160.8
139.3 353.7 153.7 98.3 167.1 180.4 1402.3 100 119.8 NA NA NA NA NA NA NA NA 182.9 NA 182.6
7.9 19.4 31.3 13.1 24.9 23.7 188.1 31.2 30 NA NA NA NA NA NA NA NA 32.5 NA 21.6
0 NA 2.9 0 0 2.7 21.2 1.2 2.4 NA NA NA NA NA NA NA NA 0 NA 1.5
10.8 9.4 13.1 33.5 8.2 30.9 134 10.4 NA NA NA NA NA NA NA NA NA 21.2 NA 7.9
30.8 33.4 53 56.4 39.2 58.5 82.9 31.6 98.5 NA NA NA NA NA NA NA NA 85 NA 42.7
9 6.7 20.2 13.3 9.5 49.7 38.1 39.1 56 NA NA NA NA NA NA NA NA 12.8 NA 24.5
35.4 18.7 18 46.6 15.1 46.6 74 73.7 46.6 NA NA NA NA NA NA NA NA 8.3 NA 14.1
98 49.1 36.9 25.9 183.1 43.4 268.2 21.7 36.8 NA NA NA NA NA NA NA NA 30.6 NA 15.9
45.9 158.1 206.7 171.5 42.6 177.9 515.3 58.2 79.3 NA NA NA NA NA NA NA NA 148.5 NA 159.9
47 18.1 33.7 20.5 15.1 30.6 89.3 74 38.7 NA NA NA NA NA NA NA NA 167.9 NA 72.2
34.4 65.9 31.7 37.5 111.8 44.7 126 60.5 28.3 NA NA NA NA NA NA NA NA 41.5 NA 88.6
41.8 130.2 83.3 40.1 65 108.4 236.7 46.7 25.1 NA NA NA NA NA NA NA NA 85.1 NA 101.6
41.6 57.1 39.7 39.9 52.6 47.2 180.1 28.2 40.5 NA NA NA NA NA NA NA NA 83 NA 49.2
23.1 42.1 50.2 25 22.4 48.7 148.6 18.9 58.9 NA NA NA NA NA NA NA NA 34.9 NA 41.2
6.6 32.3 30.5 6.2 9.9 18.4 95.3 36.2 11.8 NA NA NA NA NA NA NA NA 10.2 NA 10.3
7 30.2 9.2 5.7 11.3 17.3 46.3 7.7 42.1 NA NA NA NA NA NA NA NA 6.2 NA 6.9
19 94 101 36.8 60.4 NA 129.1 22 58.4 NA NA NA NA NA NA NA NA 127 NA 47.3
4.4 6.9 9.5 16.3 23.5 11.1 6.5 20.9 27.5 NA NA NA NA NA NA NA NA 3.2 NA 33.9
0.3 0.9 2.9 0 0 5.4 8.8 1.8 0.3 NA NA NA NA NA NA NA NA 3.2 NA 1.3
59.2 0 10.5 1.7 21.2 0 0 0 0 NA NA NA NA NA NA NA NA 0 NA 0
7 132.1 128 82.3 41.5 NA 16.9 44.9 0 NA NA NA NA NA NA NA NA 114.7 NA 73.4
0 2.2 10.2 40.3 15.4 19.2 48.2 16.3 2.6 NA NA NA NA NA NA NA NA 10.3 NA 18.4
32.9 132.1 128.8 41.2 62.7 82.6 188.6 74.9 NA NA NA NA NA NA NA NA NA 70.6 NA 69.8
149.2 183 156.7 86.4 167.8 228.6 528.7 138.8 194.8 NA NA NA NA NA NA NA NA 181.2 NA 128.1
29.4 66.1 29.5 49 40.6 31.2 340.9 44 67.7 NA NA NA NA NA NA NA NA 62.3 NA 42.5
46.2 26.8 21.9 28.7 20.5 68.8 231.1 22.7 57.3 NA NA NA NA NA NA NA NA 24.6 NA 37.8
29.9 70.8 38.3 13.3 44.1 50 194.5 41 12.2 NA NA NA NA NA NA NA NA 56.3 NA 88.8
11.9 7.1 3.8 0 7.4 5.7 7.1 0 0 NA NA NA NA NA NA NA NA 0 NA 9.6
11.8 7.4 33.2 NA 6.5 13.9 9.7 4.6 4.8 NA NA NA NA NA NA NA NA 14.4 NA 5.9
11.2 3.4 8.3 3.5 5.9 14.4 20.8 9.4 21 NA NA NA NA NA NA NA NA 6.9 NA 10.1
0 0 0 0 0 0.3 0 0 5.1 NA NA NA NA NA NA NA NA 0 NA 0
104.1 50.7 65.2 NA 72.6 39.4 78.9 15.1 129.8 NA NA NA NA NA NA NA NA 50.7 NA 62.2
39.9 84.5 71.6 49.2 10.7 27 61.8 34.4 23.3 NA NA NA NA NA NA NA NA 107.9 NA 51.8
97.8 87.6 35.3 72.7 88.1 58.5 57 29.8 59 NA NA NA NA NA NA NA NA 28.6 NA 39
14.5 15.4 NA 23.6 9 9.1 38.1 15.3 27.6 NA NA NA NA NA NA NA NA 20.5 NA 13.2
389.4 250.5 290.2 140.7 169.5 442.4 958.3 148.6 212.4 NA NA NA NA NA NA NA NA 292.7 NA 129.6
112.1 80.8 101.8 82.3 93.2 56.5 293.2 62.9 51 NA NA NA NA NA NA NA NA 113.2 NA 103.1
39.5 50.6 61.4 NA 68.3 110.7 389.4 17.5 54.3 NA NA NA NA NA NA NA NA 66.7 NA 66.4
0 5 5.7 0 1.7 2.5 8.8 5.3 2.6 NA NA NA NA NA NA 3.8 NA 2.2 NA 0
44.8 29.9 40.6 30.2 28.1 27.9 122 15 12.4 NA NA NA NA NA NA 22.3 NA 57.5 NA 39.7
53.3 196.4 110 62.5 85.6 72 96.4 25.2 62.2 NA NA NA NA NA NA 119.7 NA 122.8 NA 121.5
8.5 3.1 6.1 3.2 7.5 11 37.4 4.8 3.8 NA NA NA NA NA NA 1.5 NA 0.3 NA 3
0 0 1.6 0 0 3.5 3 12.2 6.7 NA NA NA NA NA NA 12.3 NA 5.5 NA 0.7
11.4 0 1.8 0.9 0 18.3 41.4 0 12 NA NA NA NA NA NA 0 NA 0 NA 9.3
58.9 94.9 191.9 86.9 14.7 42.4 79.2 129.6 87.5 NA NA NA NA NA NA 129.1 NA 99 NA 27.3
37.5 6 15.4 26.1 10.4 0 36.5 10.3 17.1 NA NA NA NA NA NA 16.4 NA 20.5 NA 11.6
